ENTREZ	SYMB
57674	RNF213
5822	PWP2
57488	ESYT2
219541	MED19
23074	UHRF1BP1L
92312	MEX3A
10994	ILVBL
51594	NBAS
23078	VWA8
55206	SBNO1
23019	CNOT1
285636	C5orf51
345630	FBLL1
23347	SMCHD1
196074	METTL15
317762	CCDC85C
100101267	POM121C
9883	POM121
284069	FAM171A2
4649	MYO9A
51463	GPR89B
653519	GPR89A
4666	NACA
102288414	C11orf98
23211	ZC3H4
3796	KIF2A
10212	DDX39A
9124	PDLIM1
11332	ACOT7
4641	MYO1C
10456	HAX1
9049	AIP
9567	GTPBP1
6814	STXBP3
421	ARVCF
8546	AP3B1
5717	PSMD11
5718	PSMD12
4221	MEN1
6829	SUPT5H
6874	TAF4
1192	CLIC1
8665	EIF3F
5293	PIK3CD
9197	SLC33A1
3843	IPO5
5442	POLRMT
10643	IGF2BP3
10059	DNM1L
8634	RTCA
5286	PIK3C2A
10640	EXOC5
10213	PSMD14
3839	KPNA3
23481	PES1
6386	SDCBP
10199	MPHOSPH10
10528	NOP56
1654	DDX3X
8653	DDX3Y
3840	KPNA4
5537	PPP6C
5287	PIK3C2B
8289	ARID1A
10190	TXNDC9
11316	COPE
8943	AP3D1
1855	DVL1
8215	DVL1P1
1856	DVL2
1105	CHD1
1106	CHD2
8085	KMT2D
5609	MAP2K7
10423	CDIPT
9141	PDCD5
10419	PRMT5
1111	CHEK1
10915	TCERG1
11128	POLR3A
5688	PSMA7
10067	SCAMP3
571	BACH1
8487	GEMIN2
6002	RGS12
100287932	TIMM23
100652748	TIMM23B
8520	HAT1
9246	UBE2L6
10627	MYL12A
103910	MYL12B
10398	MYL9
6790	AURKA
8934	RAB29
4659	PPP1R12A
2580	GAK
9987	HNRNPDL
7514	XPO1
9044	BTAF1
9639	ARHGEF10
23060	ZNF609
9919	SEC16A
23351	KHNYN
23350	U2SURP
9739	SETD1A
9881	TRANK1
9710	KIAA0355
5198	PFAS
23243	ANKRD28
10095	ARPC1B
10109	ARPC2
9533	POLR1C
10424	PGRMC2
10471	PFDN6
9277	WDR46
55922	NKRF
6836	SURF4
6314	ATXN7
10558	SPTLC1
8473	OGT
5373	PMM2
5496	PPM1G
3636	INPPL1
8664	EIF3D
8667	EIF3H
4931	NVL
10526	IPO8
8417	STX7
84629	TNRC18
10849	CD3EAP
4097	MAFG
7737	RNF113A
7403	KDM6A
1665	DHX15
9675	TTI1
23378	RRP8
26037	SIPA1L1
9128	PRPF4
26227	PHGDH
1783	DYNC1LI2
5709	PSMD3
9061	PAPSS1
9183	ZW10
9092	SART1
23262	PPIP5K2
6885	MAP3K7
9521	EEF1E1
8767	RIPK2
284403	WDR62
10236	HNRNPR
9129	PRPF3
9352	TXNL1
7165	TPD52L2
8672	EIF4G3
10465	PPIH
2037	EPB41L2
8562	DENR
11260	XPOT
10591	DNPH1
10469	TIMM44
5356	PLRG1
6001	RGS10
7756	ZNF207
9184	BUB3
81	ACTN4
27336	HTATSF1
164	AP1G1
9144	SYNGR2
6449	SGTA
2029	ENSA
788	SLC25A20
11051	NUDT21
6801	STRN
9136	RRP9
10270	AKAP8
2542	SLC37A4
3420	IDH3B
10749	KIF1C
5001	ORC5
5885	RAD21
8449	DHX16
9282	MED14
5636	PRPSAP2
8467	SMARCA5
9875	URB1
23094	SIPA1L3
196441	ZFC3H1
9716	AQR
4976	OPA1
9839	ZEB2
8888	MCM3AP
23095	KIF1B
23028	KDM1A
9882	TBC1D4
3992	FADS1
8724	SNX3
10492	SYNCRIP
51362	CDC40
9147	NEMF
2762	GMDS
904	CCNT1
905	CCNT2
1729	DIAPH1
11336	EXOC3
10226	PLIN3
5980	REV3L
10196	PRMT3
23633	KPNA6
3841	KPNA5
1500	CTNND1
9947	MAGEC1
6643	SNX2
8813	DPM1
8615	USO1
63931	MRPS14
10084	PQBP1
1736	DKC1
9669	EIF5B
8721	EDF1
22944	KIN
23476	BRD4
4683	NBN
4286	MITF
863	CBFA2T3
9948	WDR1
9475	ROCK2
23122	CLASP2
8895	CPNE3
9026	HIP1R
23363	OBSL1
9810	RNF40
5253	PHF2
9877	ZC3H11A
23277	CLUH
23317	DNAJC13
9701	PPP6R2
4849	CNOT3
26057	ANKRD17
10049	DNAJB6
79017	GGCT
374291	NDUFS7
3161	HMMR
242	ALOX12B
6902	TBCA
2317	FLNB
9611	NCOR1
1431	CS
9552	SPAG7
55660	PRPF40A
8318	CDC45
64599	GIGYF1
9559	VPS26A
9512	PMPCB
1876	E2F6
11168	PSIP1
10772	SRSF10
10474	TADA3
27097	TAF5L
8815	BANF1
23451	SF3B1
7812	CSDE1
8575	PRKRA
23077	MYCBP2
23464	GCAT
10360	NPM3
10434	LYPLA1
26284	ERAL1
23020	SNRNP200
8481	OFD1
6838	SURF6
27340	UTP20
9631	NUP155
11169	WDHD1
8604	SLC25A12
8666	EIF3G
8669	EIF3J
8906	AP1G2
10269	ZMPSTE24
3417	IDH1
8694	DGAT1
8812	CCNK
8554	PIAS1
9063	PIAS2
10286	BCAS2
22826	DNAJC8
10285	SMNDC1
10211	FLOT1
10539	GLRX3
26156	RSL1D1
10845	CLPX
6731	SRP72
9401	RECQL4
9400	RECQL5
9219	MTA2
26046	LTN1
4642	MYO1D
9878	TOX4
23376	UFL1
11160	ERLIN2
24148	PRPF6
51585	PCF11
285527	FRYL
2744	GLS
23354	HAUS5
161	AP2A2
22995	CEP152
10614	HEXIM1
11102	RPP14
9133	CCNB2
51366	UBR5
57466	SCAF4
9927	MFN2
3954	LETM1
9406	ZRANB2
51747	LUC7L3
24137	KIF4A
11143	KAT7
4705	NDUFA10
10659	CELF2
25796	PGLS
10592	SMC2
11313	LYPLA2
10527	IPO7
10569	SLU7
10421	CD2BP2
10598	AHSA1
5073	PARN
8624	PSMG1
10412	NSA2
2181	ACSL3
25885	POLR1A
5116	PCNT
8089	YEATS4
27107	ZBTB11
4850	CNOT4
10898	CPSF4
23774	BRD1
8924	HERC2
9342	SNAP29
9943	OXSR1
22824	HSPA4L
9991	PTBP3
160	AP2A1
58525	WIZ
9204	ZMYM6
6780	STAU1
9532	BAG2
9448	MAP4K4
9131	AIFM1
9113	LATS1
26995	TRUB2
11319	ECD
53615	MBD3
8940	TOP3B
1209	CLPTM1
10452	TOMM40
8799	PEX11B
10298	PAK4
86	ACTL6A
3939	LDHA
2746	GLUD1
2747	GLUD2
1727	CYB5R3
6647	SOD1
4860	PNP
2806	GOT2
25	ABL1
5230	PGK1
203	AK1
445	ASS1
1475	CSTA
4893	NRAS
3845	KRAS
3493	IGHA1
3050	HBZ
4000	LMNA
2335	FN1
7037	TFRC
847	CAT
5894	RAF1
226	ALDOA
1476	CSTB
4942	OAT
3848	KRT1
10382	TUBB4A
2597	GAPDH
826	CAPNS1
3315	HSPB1
6184	RPN1
6185	RPN2
476	ATP1A1
478	ATP1A3
383	ARG1
347	APOD
217	ALDH2
6279	S100A8
292	SLC25A5
5095	PCCA
5096	PCCB
1965	EIF2S1
6176	RPLP1
6181	RPLP2
6175	RPLP0
220717	RPLP0P6
6741	SSB
5579	PRKCB
5925	RB1
5757	PTMA
983	CDK1
6280	S100A9
1977	EIF4E
2023	ENO1
5836	PYGL
2821	GPI
5423	POLB
4869	NPM1
7170	TPM3
4023	LPL
3945	LDHB
5034	P4HB
1509	CTSD
302	ANXA2
304	ANXA2P2
823	CAPN1
203068	TUBB
5660	PSAP
5216	PFN1
353	APRT
1508	CTSB
3320	HSP90AA1
3183	HNRNPC
4067	LYN
2271	FH
309	ANXA6
6520	SLC3A2
5213	PFKM
3326	HSP90AB1
440	ASNS
5160	PDHA1
6625	SNRNP70
7431	VIM
6218	RPS17
2773	GNAI3
308	ANXA5
3921	RPSA
6626	SNRPA
30	ACAA1
2950	GSTP1
5860	QDPR
3146	HMGB1
10357	HMGB1P1
1738	DLD
3178	HNRNPA1
6627	SNRPA1
142	PARP1
5422	POLA1
230	ALDOC
200933	FBXO45
84528	RHOXF2
727940	RHOXF2B
441519	CT45A3
541466	CT45A1
728911	CT45A2
102723680	CT45A9
102723737	CT45A8
101060211	CT45A7
102723631	CT45A10
441521	CT45A5
541465	CT45A6
3304	HSPA1B
3303	HSPA1A
7307	U2AF1
875	CBS
369	ARAF
1737	DLAT
7295	TXN
1329	COX5B
4137	MAPT
5573	PRKAR1A
2098	ESD
3329	HSPD1
3309	HSPA5
3312	HSPA8
6513	SLC2A1
6515	SLC2A3
144195	SLC2A14
2035	EPB41
7372	UMPS
5162	PDHB
1629	DBT
5834	PYGB
613	BCR
34	ACADM
7150	TOP1
7153	TOP2A
5091	PC
4522	MTHFD1
128	ADH5
26986	PABPC1
5111	PCNA
291	SLC25A4
293	SLC25A6
3615	IMPDH2
7175	TPR
1152	CKB
4635	MYL4
2547	XRCC6
7520	XRCC5
1327	COX4I1
8519	IFITM1
10581	IFITM2
10410	IFITM3
2812	GP1BB
6050	RNH1
1938	EEF2
9601	PDIA4
5033	P4HA1
3936	LCP1
327	APEH
2108	ETFA
5576	PRKAR2A
2963	GTF2F2
81576	CCDC130
4282	MIF
5589	PRKCSH
2224	FDPS
10327	AKR1A1
5315	PKM
7184	HSP90B1
6628	SNRPB
6638	SNRPN
3416	IDE
3191	HNRNPL
3728	JUP
673	BRAF
5880	RAC2
5881	RAC3
7430	EZR
7347	UCHL3
4830	NME1
3096	HIVEP1
6187	RPS2
1832	DSP
2623	GATA1
286	ANK1
1385	CREB1
2720	GLB1
488	ATP2A2
3925	STMN1
8531	YBX3
7572	ZNF24
3310	HSPA6
3159	HMGA1
8834	TMEM11
2805	GOT1
7343	UBTF
3219	HOXB9
5566	PRKACA
5567	PRKACB
5771	PTPN2
1503	CTPS1
1655	DDX5
5211	PFKL
5702	PSMC3
6950	TCP1
5770	PTPN1
2068	ERCC2
6165	RPL35A
378	ARF4
6129	RPL7
7414	VCL
6651	SON
7936	NELFE
6139	RPL17
5223	PGAM1
1104	RCC1
22926	ATF6
3978	LIG1
7515	XRCC1
4691	NCL
3098	HK1
5434	POLR2E
2071	ERCC3
5610	EIF2AK2
7490	WT1
6723	SRM
1459	CSNK2A2
4790	NFKB1
8894	EIF2S2
890	CCNA2
689	BTF3
5868	RAB5A
5870	RAB6A
51560	RAB6B
4437	MSH3
5689	PSMB1
9377	COX5A
4001	LMNB1
984	CDK11B
728642	CDK11A
526	ATP6V1B2
528	ATP6V1C1
2316	FLNA
4763	NF1
6872	TAF1
138474	TAF1L
7416	VDAC1
5007	OSBP
5110	PCMT1
2091	FBL
2618	GART
10606	PAICS
7317	UBA1
4831	NME2
2232	FDXR
3181	HNRNPA2B1
7385	UQCRC2
6917	TCEA1
6421	SFPQ
7283	TUBG1
27175	TUBG2
5479	PPIB
4200	ME2
6188	RPS3
6672	SP100
191	AHCY
1072	CFL1
1975	EIF4B
1841	DTYMK
6240	RRM1
1933	EEF1B2
52	ACP1
38	ACAT1
5430	POLR2A
1017	CDK2
324	APC
4172	MCM3
563	AZGP1
4357	MPST
6206	RPS12
6046	BRD2
7528	YY1
3337	DNAJB1
5682	PSMA1
5684	PSMA3
5685	PSMA4
3675	ITGA3
4478	MSN
1656	DDX6
1786	DNMT1
11338	U2AF2
6137	RPL13
3148	HMGB2
5725	PTBP1
1937	EEF1G
2040	STOM
10971	YWHAQ
6134	RPL10
6117	RPA1
328	APEX1
790	CAD
811	CALR
4134	MAP4
821	CANX
5686	PSMA5
5692	PSMB4
5694	PSMB6
5693	PSMB5
5825	ABCD3
7111	TMOD1
4719	NDUFS1
5424	POLD1
6594	SMARCA1
5594	MAPK1
2073	ERCC5
5933	RBL1
51056	LAP3
2960	GTF2E1
2961	GTF2E2
7174	TPP2
5926	ARID4A
5927	KDM5A
7086	TKT
6317	SERPINB3
5371	PML
1936	EEF1D
10961	ERP29
9588	PRDX6
25824	PRDX5
10935	PRDX3
6136	RPL12
1892	ECHS1
51727	CMPK1
5037	PEBP1
2923	PDIA3
5518	PPP2R1A
996	CDC27
4820	NKTR
4836	NMT1
158	ADSL
5313	PKLR
1992	SERPINB1
219	ALDH1B1
5431	POLR2B
6389	SDHA
4144	MAT2A
5577	PRKAR2B
6241	RRM2
3301	DNAJA1
208	AKT2
7384	UQCRC1
471	ATIC
3189	HNRNPH3
3187	HNRNPH1
23581	CASP14
7529	YWHAB
10963	STIP1
7001	PRDX2
5831	PYCR1
1997	ELF1
2965	GTF2H1
6133	RPL9
3799	KIF5B
1478	CSTF2
1854	DUT
7272	TTK
4173	MCM4
4174	MCM5
4176	MCM7
6472	SHMT2
3308	HSPA4
648	BMI1
5245	PHB
5269	SERPINB6
5984	RFC4
5982	RFC2
5981	RFC1
6146	RPL22
2962	GTF2F1
6697	SPR
3667	IRS1
4627	MYH9
4628	MYH10
9276	COPB2
118	ADD1
682	BSG
2521	FUS
8021	NUP214
7913	DEK
5701	PSMC2
402	ARL2
5605	MAP2K2
6124	RPL4
9361	LONP1
5501	PPP1CC
2794	GNL1
1743	DLST
2766	GMPR
2879	GPX4
6727	SRP14
23636	NUP62
8407	TAGLN2
6888	TALDO1
2109	ETFB
27316	RBMX
672	BRCA1
8161	COIL
523	ATP6V1A
3313	HSPA9
9775	EIF4A3
3508	IGHMBP2
6223	RPS19
6122	RPL3
1650	DDOST
8125	ANP32A
2237	FEN1
1523	CUX1
822	CAPG
200081	TXLNA
908	CCT6A
23521	RPL13A
400	ARL1
4292	MLH1
6774	STAT3
4190	MDH1
4191	MDH2
5985	RFC5
5983	RFC3
3030	HADHA
1968	EIF2S3
1939	EIF2D
8896	BUD31
8260	NAA10
1445	CSK
5584	PRKCI
7112	TMPO
6772	STAT1
6776	STAT5A
2475	MTOR
5297	PI4KA
2060	EPS15
6232	RPS27
4145	MATK
27	ABL2
9931	HELZ
23310	NCAPD3
23029	RBM34
10128	LRPPRC
10449	ACAA2
11224	RPL35
9782	MATR3
4436	MSH2
2870	GRK6
5902	RANBP1
10135	NAMPT
5704	PSMC4
10102	TSFM
7417	VDAC2
23468	CBX5
8078	USP5
4288	MKI67
5255	PHKA1
5905	RANGAP1
5965	RECQL
4839	NOP2
546	ATRX
1399	CRKL
4528	MTIF2
7917	BAG6
4905	NSF
6157	RPL27A
6125	RPL5
6144	RPL21
6158	RPL28
6203	RPS9
6193	RPS5
6204	RPS10
93144	RPS10P5
4131	MAP1B
10007	GNPDA1
8826	IQGAP1
2992	GYG1
3703	STT3A
830	CAPZA2
832	CAPZB
1964	EIF1AX
9086	EIF1AY
6159	RPL29
3963	LGALS7
7386	UQCRFS1
100128525	UQCRFS1P1
5550	PREP
5993	RFX5
5305	PIP4K2A
372	ARCN1
7109	TRAPPC10
5714	PSMD8
7916	PRRC2A
2937	GSS
22948	CCT5
1452	CSNK1A1
1453	CSNK1D
3418	IDH2
23760	PITPNB
65108	MARCKSL1
223	ALDH9A1
6164	RPL34
4678	NASP
2194	FASN
7203	CCT3
7284	TUFM
6726	SRP9
9647	PPM1F
5557	PRIM1
1454	CSNK1E
5691	PSMB3
5690	PSMB2
4171	MCM2
56252	YLPM1
58517	RBM25
1196	CLK2
8892	EIF2B2
3094	HINT1
9972	NUP153
5903	RANBP2
2931	GSK3A
2932	GSK3B
6878	TAF6
8833	GMPS
3980	LIG3
3419	IDH3A
2665	GDI2
5272	SERPINB9
871	SERPINH1
6767	ST13
145165	ST13P4
144106	ST13P5
2077	ERF
1785	DNM2
10988	METAP2
1022	CDK7
9735	KNTC1
1025	CDK9
987	LRBA
5538	PPT1
9045	RPL14
10694	CCT8
10575	CCT4
10914	PAPOLA
8087	FXR1
9513	FXR2
5878	RAB5C
7879	RAB7A
9367	RAB9A
5873	RAB27A
7818	DAP3
1763	DNA2
6595	SMARCA2
6597	SMARCA4
2584	GALK1
6748	SSR4
675	BRCA2
4204	MECP2
3054	HCFC1
3654	IRAK1
3295	HSD17B4
5713	PSMD7
4299	AFF1
3068	HDGF
6787	NEK4
7324	UBE2E1
220988	HNRNPA3
5226	PGD
4670	HNRNPM
3838	KPNA2
3836	KPNA1
22916	NCBP2
396	ARHGDIA
3267	AGFG1
3185	HNRNPF
6773	STAT2
2956	MSH6
3832	KIF11
10181	RBM5
3099	HK2
6182	MRPL12
829	CAPZA1
4928	NUP98
644	BLVRA
6576	SLC25A1
5347	PLK1
47	ACLY
8802	SUCLG1
1315	COPB1
1314	COPA
6525	SMTN
6566	SLC16A1
9798	IST1
9632	SEC24C
10923	SUB1
5428	POLG
1207	CLNS1A
641	BLM
7290	HIRA
5378	PMS1
5395	PMS2
9097	USP14
5571	PRKAG1
483	ATP1B3
5886	RAD23A
5887	RAD23B
204	AK2
5832	ALDH18A1
1983	EIF5
5710	PSMD4
1819	DRG2
1434	CSE1L
7415	VCP
4236	MFAP1
3032	HADHB
3071	NCKAP1L
8028	MLLT10
4302	MLLT6
8178	ELL
7862	BRPF1
4673	NAP1L1
103	ADAR
6396	SEC13
9520	NPEPPS
3188	HNRNPH2
5019	OXCT1
8662	EIF3B
8568	RRP1
9759	HDAC4
3692	EIF6
63977	PRDM15
55161	TMEM33
50628	GEMIN4
79585	CORO7
57122	NUP107
60678	EEFSEC
668	FOXL2
136319	MTPN
10239	AP3S2
353274	ZNF445
10093	ARPC4
7167	TPI1
3646	EIF3E
10952	SEC61B
4637	MYL6
60	ACTB
1973	EIF4A1
6224	RPS20
5687	PSMA6
998	CDC42
4218	RAB8A
51762	RAB8B
5862	RAB2A
10890	RAB10
7323	UBE2D3
7322	UBE2D2
9040	UBE2M
3093	UBE2K
7334	UBE2N
389898	UBE2NL
51552	RAB14
10096	ACTR3
10097	ACTR2
10121	ACTR1A
6059	ABCE1
5908	RAP1B
6189	RPS3A
51121	RPL26L1
6154	RPL26
10197	PSME3
6138	RPL15
6155	RPL27
9114	ATP6V0D1
6168	RPL37A
387	RHOA
3336	HSPE1
29927	SEC61A1
55176	SEC61A2
7411	VBP1
1603	DAD1
22818	COPZ1
6167	RPL37
10238	DCAF7
11091	WDR5
1174	AP1S1
10204	NUTF2
3190	HNRNPK
7532	YWHAG
6201	RPS7
5499	PPP1CA
5500	PPP1CB
5700	PSMC1
5705	PSMC5
6202	RPS8
6210	RPS15A
6217	RPS16
7531	YWHAE
6208	RPS14
6228	RPS23
6222	RPS18
6207	RPS13
6205	RPS11
6635	SNRPE
6636	SNRPF
6632	SNRPD1
6633	SNRPD2
6634	SNRPD3
7114	TMSB4X
382	ARF6
5706	PSMC6
6130	RPL7A
2107	ETF1
6191	RPS4X
6147	RPL23A
6194	RPS6
5861	RAB1A
5901	RAN
9349	RPL23
6209	RPS15
6229	RPS24
6230	RPS25
6231	RPS26
441502	RPS26P11
6234	RPS28
2782	GNB1
9978	RBX1
6156	RPL30
6170	RPL39
553117	RPL39P5
6160	RPL31
4736	RPL10A
6161	RPL32
6135	RPL11
6132	RPL8
5478	PPIA
2280	FKBP1A
6233	RPS27A
7314	UBB
7316	UBC
2885	GRB2
6434	TRA2B
163	AP2B1
7534	YWHAZ
5520	PPP2R2A
7341	SUMO1
8655	DYNLL1
6169	RPL38
6500	SKP1
6227	RPS21
1984	EIF5A
143244	EIF5AL1
7329	UBE2I
4904	YBX1
1460	CSNK2B
7171	TPM4
58	ACTA1
70	ACTC1
72	ACTG2
59	ACTA2
7332	UBE2L3
1915	EEF1A1
158078	EEF1A1P5
10376	TUBA1B
7277	TUBA4A
10383	TUBB4B
3048	HBG2
8603	FAM193A
8602	NOP14
3476	IGBP1
10180	RBM6
1982	EIF4G2
10557	RPP38
10556	RPP30
2969	GTF2I
8396	PIP4K2B
6733	SRPK2
1455	CSNK1G2
53944	CSNK1G1
1456	CSNK1G3
10576	CCT2
23532	PRAME
8480	RAE1
5591	PRKDC
4130	MAP1A
117159	DCD
7110	TMF1
56945	MRPS22
60488	MRPS35
64969	MRPS5
64960	MRPS15
54460	MRPS21
64965	MRPS9
79366	HMGN5
84324	SARNP
6152	RPL24
6173	RPL36A
375	ARF1
377	ARF3
381	ARF5
2079	ERH
391	RHOG
6143	RPL19
6428	SRSF3
221937	FOXK1
55615	PRR5
51622	CCZ1
221960	CCZ1B
8241	RBM10
54205	CYCS
5250	SLC25A3
3069	HDLBP
2959	GTF2B
1021	CDK6
1020	CDK5
5813	PURA
11135	CDC42EP1
1213	CLTC
3297	HSF1
2287	FKBP3
6652	SORD
3192	HNRNPU
6711	SPTBN1
7073	TIAL1
6418	SET
646817	SETSIP
6427	SRSF2
861	RUNX1
2171	FABP5
10487	CAP1
3157	HMGCS1
8140	SLC7A5
1810	DR1
5394	EXOSC10
54726	OTUD4
5214	PFKP
7508	XPC
2130	EWSR1
8227	AKAP17A
6668	SP2
9493	KIF23
1828	DSG1
6142	RPL18A
5604	MAP2K1
2288	FKBP4
6128	RPL6
7155	TOP2B
8402	SLC25A11
4298	MLLT1
4297	KMT2A
1060	CENPC
84823	LMNB2
2074	ERCC6
10153	CEBPZ
5970	RELA
51035	UBXN1
1981	EIF4G1
5588	PRKCQ
2739	GLO1
6742	SSBP1
7533	YWHAH
5782	PTPN12
9295	SRSF11
5580	PRKCD
5781	PTPN11
695	BTK
5471	PPAT
2673	GFPT1
5393	EXOSC9
5720	PSME1
3516	RBPJ
6015	RING1
2332	FMR1
5052	PRDX1
6141	RPL18
708	C1QBP
7082	TJP1
10657	KHDRBS1
5426	POLE
3831	KLC1
6426	SRSF1
7053	TGM3
1660	DHX9
2802	GOLGA3
2801	GOLGA2
1823	DSC1
961	CD47
5481	PPID
6749	SSRP1
23271	CAMSAP2
54888	NSUN2
5928	RBBP4
4686	NCBP1
79026	AHNAK
162	AP1B1
29894	CPSF1
23203	PMPCA
23279	NUP160
10607	TBL3
2975	GTF3C1
7024	TFCP2
11214	AKAP13
6598	SMARCB1
2186	BPTF
991	CDC20
2926	GRSF1
5871	MAP4K2
6433	SFSWAP
1107	CHD3
10946	SF3A3
7158	TP53BP1
9255	AIMP1
3608	ILF2
3609	ILF3
10131	TRAP1
6881	TAF10
5511	PPP1R8
4799	NFX1
7799	PRDM2
29966	STRN3
8881	CDC16
6789	STK4
2314	FLII
80347	COASY
31	ACACA
2873	GPS1
10036	CHAF1A
8208	CHAF1B
3550	IK
5562	PRKAA1
8500	PPFIA1
8893	EIF2B5
23435	TARDBP
10949	HNRNPA0
10549	PRDX4
5062	PAK2
11335	CBX3
5708	PSMD2
1662	DDX10
8683	SRSF9
6430	SRSF5
6431	SRSF6
4085	MAD2L1
10155	TRIM28
10146	G3BP1
6502	SKP2
8761	PABPC4
472	ATM
2887	GRB10
9112	MTA1
8668	EIF3I
23759	PPIL2
6894	TARBP1
7335	UBE2V1
1781	DYNC1I2
4999	ORC2
3611	ILK
10320	IKZF1
23530	NNT
9360	PPIG
6949	TCOF1
10992	SF3B2
11333	PDAP1
2289	FKBP5
4650	MYO9B
4773	NFATC2
7156	TOP3A
8301	PICALM
4580	MTX1
8899	PRPF4B
545	ATR
8737	RIPK1
3065	HDAC1
818	CAMK2G
10540	DCTN2
8883	NAE1
22938	SNW1
10788	IQGAP2
29896	TRA2A
6642	SNX1
11103	KRR1
8897	MTMR3
8454	CUL1
8452	CUL3
8451	CUL4A
7159	TP53BP2
1859	DYRK1A
8563	THOC5
6709	SPTAN1
29889	GNL2
5317	PKP1
7919	DDX39B
728340	GTF2H2C
2966	GTF2H2
2967	GTF2H3
705	BYSL
865	CBFB
8621	CDK13
9793	CKAP5
10063	COX17
3184	HNRNPD
23246	BOP1
9817	KEAP1
9816	URB2
9704	DHX34
23515	MORC3
9667	SAFB2
8661	EIF3A
9898	UBAP2L
23513	SCRIB
9761	MLEC
23170	TTLL12
7486	WRN
9203	ZMYM3
1778	DYNC1H1
4863	NPAT
1967	EIF2B1
1974	EIF4A2
2017	CTTN
2319	FLOT2
7706	TRIM25
2185	PTK2B
2318	FLNC
23770	FKBP8
9130	FAM50A
2483	FRG1
2593	GAMT
4076	CAPRIN1
7884	SLBP
9584	RBM39
6596	HLTF
1659	DHX8
4175	MCM6
3710	ITPR3
9320	TRIP12
9698	PUM1
9656	MDC1
9685	CLINT1
8243	SMC1A
23076	RRP1B
23199	GSE1
22984	PDCD11
9790	BMS1
9100	USP10
23193	GANAB
5528	PPP2R5D
3930	LBR
84733	CBX2
3835	KIF22
4209	MEF2D
1108	CHD4
3927	LASP1
27332	ZNF638
3837	KPNB1
9221	NOLC1
4926	NUMA1
26130	GAPVD1
84986	ARHGAP19
23397	NCAPH
9589	WTAP
9861	PSMD6
9733	SART3
9918	NCAPD2
23512	SUZ12
23016	EXOSC7
9343	EFTUD2
23395	LARS2
23518	R3HDM1
22930	RAB3GAP1
23212	RRS1
10714	POLD3
7458	EIF4H
9928	KIF14
23160	WDR43
8411	EEA1
10130	PDIA6
5050	PAFAH1B3
5163	PDK1
5339	PLEC
5108	PCM1
5464	PPA1
10728	PTGES3
4841	NONO
23475	QPRT
9135	RABEP1
10921	RNPS1
10771	ZMYND11
10489	LRRC41
7270	TTF1
5093	PCBP1
5094	PCBP2
9690	UBE3C
23450	SF3B3
9787	DLGAP5
6195	RPS6KA1
6294	SAFB
10262	SF3B4
10484	SEC23A
10291	SF3A1
6877	TAF5
10499	NCOA2
6895	TARBP2
7536	SF1
9321	TRIP11
9319	TRIP13
5469	MED1
9325	TRIP4
221037	JMJD1C
7205	TRIP6
22919	MAPRE1
1994	ELAVL1
50814	NSDHL
10454	TAB1
6510	SLC1A5
10953	TOMM34
8648	NCOA1
7336	UBE2V2
6813	STXBP2
9230	RAB11B
8766	RAB11A
11047	ADRM1
1874	E2F4
5711	PSMD5
1642	DDB1
11140	CDC37
1808	DPYSL2
6880	TAF9
6432	SRSF7
