ENTREZ	SYMB
11052	CPSF6
6606	SMN1
1627	DBN1
6624	FSCN1
1666	DECR1
27338	UBE2S
4704	NDUFA9
5106	PCK2
7360	UGP2
10989	IMMT
348654	GEN1
80315	CPEB4
400506	KNOP1
221092	HNRNPUL2
79848	CSPP1
23244	PDS5A
79832	QSER1
374654	KIF7
54821	ERCC6L
131405	TRIM71
54870	QRICH1
168850	ZNF800
143884	CWF19L2
348180	CTU2
9208	LRRFIP1
57570	TRMT5
221830	TWISTNB
55700	MAP7D1
124801	LSM12
54856	GON4L
55704	CCDC88A
55684	RABL6
92609	TIMM50
84656	GLYR1
51574	LARP7
26000	TBC1D10B
9924	PAN2
283742	FAM98B
26122	EPC2
27250	PDCD4
200186	CRTC2
51144	HSD17B12
2733	GLE1
10713	USP39
55750	AGK
25972	UNC50
55143	CDCA8
79675	FASTKD1
157570	ESCO2
255967	PAN3
4957	ODF2
284695	ZNF326
64434	NOM1
84083	ZRANB3
63035	BCORL1
55291	PPP6R3
124454	EARS2
375056	MIA3
139818	DOCK11
84726	PRRC2B
23223	RRP12
26092	TOR1AIP1
57505	AARS2
55795	PCID2
2778	GNAS
55095	SAMD4B
30836	DNTTIP2
23511	NUP188
50809	HP1BP3
79830	ZMYM1
9859	CEP170
79707	NOL9
57038	RARS2
23307	FKBP15
23091	ZC3H13
54865	GPATCH4
55791	LRIF1
23352	UBR4
134957	STXBP5
57584	ARHGAP21
157922	CAMSAP1
55833	UBAP2
84267	C9orf64
448834	KPRP
284611	FAM102B
64062	RBM26
83858	ATAD3B
9724	UTP14C
149041	RC3H1
9473	THEMIS2
27245	AHDC1
253143	PRR14L
55183	RIF1
9857	CEP350
8476	CDC42BPA
23248	RPRD2
8328	GFI1B
55119	PRPF38B
56254	RNF20
24149	ZNF318
221061	FAM171A1
114803	MYSM1
83860	TAF3
54665	RSBN1
127018	LYPLAL1
128710	SLX4IP
55667	DENND4C
9202	ZMYM4
63891	RNF123
79664	ICE2
55132	LARP1B
55201	MAP1S
51329	ARL6IP4
196528	ARID2
79441	HAUS3
144108	SPTY2D1
339287	MSL1
131544	CRYBG3
65123	INTS3
157313	CDCA2
55280	CWF19L1
9849	ZNF518A
63897	HEATR6
80014	WWC2
54887	UHRF1BP1
25923	ATL3
285855	RPL7L1
9922	IQSEC1
57019	CIAPIN1
80145	THOC7
11344	TWF2
163859	SDE2
92241	RCSD1
25836	NIPBL
132660	LIN54
79899	PRR5L
54790	TET2
29957	SLC25A24
60561	RINT1
170954	PPP1R18
55596	ZCCHC8
285367	RPUSD3
55320	MIS18BP1
23139	MAST2
90957	DHX57
79577	CDC73
150864	FAM117B
64928	MRPL14
54862	CC2D1A
55798	METTL2B
6873	TAF2
23644	EDC4
64793	CEP85
10594	PRPF8
55681	SCYL2
55622	TTC27
119559	SFXN4
9824	ARHGAP11A
4798	NFRKB
54890	ALKBH5
80789	INTS5
222194	RSBN1L
9646	CTR9
51244	CCDC174
79882	ZC3H14
339230	CCDC137
23367	LARP1
29028	ATAD2
253260	RICTOR
90378	SAMD1
6604	SMARCD3
25902	MTHFD1L
29123	ANKRD11
81608	FIP1L1
64784	CRTC3
23373	CRTC1
90678	LRSAM1
374897	SBSN
10283	CWC27
139322	APOOL
54880	BCOR
23164	MPRIP
80223	RAB11FIP1
26058	GIGYF2
84263	HSDL2
388503	C3P1
84206	MEX3B
389421	LIN28B
56905	C15orf39
10847	SRCAP
286077	FAM83H
126432	RINL
254048	UBN2
55785	FGD6
22976	PAXIP1
54832	VPS13C
9736	USP34
201294	UNC13D
79682	CENPU
113251	LARP4
79872	CBLL1
55035	NOL8
55252	ASXL2
27044	SND1
2011	MARK2
9879	DDX46
54931	TRMT10C
9689	BZW1
22907	DHX30
56257	MEPCE
65117	RSRC2
23191	CYFIP1
55388	MCM10
79930	DOK3
57551	TAOK1
60493	FASTKD5
51780	KDM3B
54840	APTX
81627	TRMT1L
56829	ZC3HAV1
219927	MRPL21
23064	SETX
79065	ATG9A
23126	POGZ
9765	ZFYVE16
23041	MON2
10260	DENND4A
79784	MYH14
57532	NUFIP2
57506	MAVS
23332	CLASP1
54505	DHX29
54801	HAUS6
55027	HEATR3
56946	EMSY
10743	RAI1
27291	R3HCC1L
222658	KCTD20
5930	RBBP6
134553	C5orf24
10075	HUWE1
253943	YTHDF3
219988	PATL1
161424	NOP9
8106	PABPN1
56339	METTL3
55193	PBRM1
92140	MTDH
90850	ZNF598
3895	KTN1
23293	SMG6
23187	PHLDB1
84196	USP48
55728	N4BP2
79829	NAA40
7798	LUZP1
10189	ALYREF
124245	ZC3H18
55832	CAND1
85453	TSPYL5
79228	THOC6
51530	ZC3HC1
9557	CHD1L
65056	GPBP1
91582	RPS19BP1
54892	NCAPG2
399664	MEX3D
11325	DDX42
65244	SPATS2
7444	VRK2
54919	DNAAF5
54815	GATAD2A
57534	MIB1
167227	DCP2
84700	MYO18B
129831	RBM45
126003	TRAPPC5
55863	TMEM126B
64925	CCDC71
51231	VRK3
115677	NOSTRIN
8844	KSR1
10620	ARID3B
79598	CEP97
84128	WDR75
23269	MGA
29066	ZC3H7A
84295	PHF6
94134	ARHGAP12
10523	CHERP
54882	ANKHD1
57794	SUGP1
10147	SUGP2
55749	CCAR1
79665	DHX40
221150	SKA3
89941	RHOT2
1912	PHC2
55425	GPALPP1
389677	RBM12B
54733	SLC35F2
23137	SMC5
57647	DHX37
125950	RAVER1
117246	FTSJ3
84464	SLX4
10250	SRRM1
6832	SUPV3L1
165918	RNF168
65979	PHACTR4
27037	TRMT2A
79932	KIAA0319L
196513	DCP1B
54464	XRN1
27043	PELP1
259266	ASPM
154807	VKORC1L1
152185	SPICE1
57521	RPTOR
57805	CCAR2
91942	NDUFAF2
147912	SIX5
6293	VPS52
9688	NUP93
57592	ZNF687
57455	REXO1
23070	CMTR1
57470	LRRC47
26173	INTS1
55109	AGGF1
54531	MIER2
10973	ASCC3
10735	STAG2
23360	FNBP4
84186	ZCCHC7
60558	GUF1
55239	OGFOD1
55133	SRBD1
257397	TAB3
79576	NKAP
91647	ATPAF2
84524	ZC3H8
9921	RNF10
79869	CPSF7
84364	ARFGAP2
200185	KRTCAP2
148423	C1orf52
54623	PAF1
317781	DDX51
253635	GPATCH11
126526	C19orf47
285672	SREK1IP1
65095	KRI1
168455	CCDC71L
84950	PRPF38A
166378	SPATA5
337867	UBAC2
51170	HSD17B11
81567	TXNDC5
26135	SERBP1
25940	FAM98A
55355	HJURP
84901	NFATC2IP
254225	RNF169
257160	RNF214
26065	LSM14A
55609	ZNF280C
128061	C1orf131
23301	EHBP1
29890	RBM15B
27327	TNRC6A
23550	PSD4
23	ABCF1
90550	MCU
153443	SRFBP1
25983	NGDN
79648	MCPH1
55578	SUPT20H
23086	EXPH5
89796	NAV1
51535	PPHLN1
58508	KMT2C
26263	FBXO22
81704	DOCK8
84307	ZNF397
259282	BOD1L1
57492	ARID1B
80308	FLAD1
348995	NUP43
129401	NUP35
163590	TOR1AIP2
55907	CMAS
64225	ATL2
84678	KDM2B
57696	DDX55
23424	TDRD7
135112	NCOA7
57187	THOC2
134430	WDR36
81930	KIF18A
6100	RP9
79753	SNIP1
57599	WDR48
54536	EXOC6
6601	SMARCC2
55666	NPLOC4
347734	SLC35B2
23369	PUM2
55972	SLC25A40
79837	PIP4K2C
64786	TBC1D15
51109	RDH11
201595	STT3B
87178	PNPT1
81502	HM13
7840	ALMS1
23299	BICD2
91754	NEK9
84181	CHD6
79039	DDX54
55299	BRIX1
84135	UTP15
57706	DENND1A
84444	DOT1L
23225	NUP210
55125	CEP192
25929	GEMIN5
51735	RAPGEF6
56288	PARD3
79711	IPO4
115752	DIS3L
64318	NOC3L
64744	SMAP2
55854	ZC3H15
85313	PPIL4
55274	PHF10
84932	RAB2B
151903	CCDC12
10848	PPP1R13L
90488	TMEM263
51564	HDAC7
114971	PTPMT1
55746	NUP133
10015	PDCD6IP
58509	CACTIN
51337	THEM6
57106	NAT14
9274	BCL7C
90933	TRIM41
63922	CHTF18
134492	NUDCD2
51106	TFB1M
23256	SCFD1
92906	HNRNPLL
134510	UBLCP1
57092	PCNP
121355	GTSF1
26586	CKAP2
11273	ATXN2L
55023	PHIP
26121	PRPF31
140890	SREK1
79833	GEMIN6
55269	PSPC1
8567	MADD
57459	GATAD2B
23234	DNAJC9
56987	BBX
51078	THAP4
54434	SSH1
25909	AHCTF1
54487	DGCR8
1653	DDX1
8729	GBF1
9887	SMG7
23168	RTF1
11073	TOPBP1
23107	MRPS27
8314	BAP1
23142	DCUN1D4
1176	AP3S1
7248	TSC1
23469	PHF3
9794	MAML1
10808	HSPH1
1794	DOCK2
9779	TBC1D5
9640	ZNF592
399687	MYO18A
23185	LARP4B
9785	DHX38
23165	NUP205
23294	ANKS1A
8439	NSMAF
10240	MRPS31
8165	AKAP1
10541	ANP32B
5546	PRCC
10342	TFG
2968	GTF2H4
6239	RREB1
3066	HDAC2
5977	DPF2
8189	SYMPK
8148	TAF15
2125	EVPL
10521	DDX17
10111	RAD50
10658	CELF1
9138	ARHGEF1
2072	ERCC4
5976	UPF1
10987	COPS5
27238	GPKOW
6599	SMARCC1
6603	SMARCD2
8570	KHSRP
2639	GCDH
3842	TNPO1
9181	ARHGEF2
10978	CLP1
11146	GLMN
10524	KAT5
1857	DVL3
8239	USP9X
7874	USP7
8065	CUL5
9728	SECISBP2L
9797	TATDN2
5257	PHKB
6605	SMARCE1
387032	ZKSCAN4
6166	RPL36AL
83746	L3MBTL2
90441	ZNF622
84340	GFM2
56926	NCLN
9238	TBRG4
57003	CCDC47
60412	EXOC4
55110	MAGOHB
91869	RFT1
8880	FUBP1
55379	LRRC59
146956	EME1
23331	TTC28
11340	EXOSC8
126299	ZNF428
51317	PHF21A
54984	PINX1
127829	ARL8A
117143	TADA1
132001	TAMM41
221504	ZBTB9
84908	FAM136A
79180	EFHD2
130589	GALM
94121	SYTL4
29920	PYCR2
64897	C12orf43
26472	PPP1R14B
57117	INTS12
387338	NSUN4
114984	FLYWCH2
23197	FAF2
55572	FOXRED1
1173	AP2M1
10426	TUBGCP3
51068	NMD3
134147	CMBL
124540	MSI2
9410	SNRNP40
64978	MRPL38
54908	SPDL1
26610	ELP4
23411	SIRT1
116540	MRPL53
26528	DAZAP1
155435	RBM33
9093	DNAJA3
55319	TMA16
55037	PTCD3
80153	EDC3
113130	CDCA5
140735	DYNLL2
112840	WDR89
9984	THOC1
55611	OTUB1
56941	HMCES
55276	PGM2
56931	DUS3L
84946	LTV1
51642	MRPL48
57026	PDXP
22955	SCMH1
9212	AURKB
6602	SMARCD1
114034	TOE1
55661	DDX27
552889	ATXN7L3B
84930	MASTL
80179	MYO19
4796	TONSL
10611	PDLIM5
205564	SENP5
192111	PGAM5
92105	INTS4
8939	FUBP3
84991	RBM17
79731	NARS2
8801	SUCLG2
84859	LRCH3
29926	GMPPA
55768	NGLY1
84321	THOC3
23119	HIC2
80124	VCPIP1
283489	CHAMP1
84456	L3MBTL3
80829	ZFP91
79939	SLC35E1
79759	ZNF668
55031	USP47
55872	PBK
57410	SCYL1
57473	ZNF512B
55770	EXOC2
55748	CNDP2
10919	EHMT2
51663	ZFR
64324	NSD1
57634	EP400
81609	SNX27
80173	IFT74
55599	RNPC3
80028	FBXL18
84450	ZNF512
91746	YTHDC1
124808	CCDC43
79143	MBOAT7
85440	DOCK7
80198	MUS81
55695	NSUN5
55197	RPRD1A
89777	SERPINB12
55705	IPO9
4253	MIA2
10432	RBM14
25946	ZNF385A
9444	QKI
114823	LENG8
54540	FAM193B
4750	NEK1
54517	PUS7
83696	TRAPPC9
51095	TRNT1
23049	SMG1
284110	GSDMA
5514	PPP1R10
84248	FYTTD1
79915	ATAD5
55737	VPS35
5814	PURB
54822	TRPM7
23214	XPO6
10615	SPAG5
51720	UIMC1
85476	GFM1
56922	MCCC1
96764	TGS1
84955	NUDCD1
85378	TUBGCP6
26750	RPS6KC1
112858	TP53RK
56897	WRNIP1
10048	RANBP9
23155	CLCC1
81669	CCNL2
84687	PPP1R9B
6732	SRPK1
79677	SMC6
55342	STRBP
84928	TMEM209
55755	CDK5RAP2
55677	IWS1
25942	SIN3A
79048	SECISBP2
51773	RSF1
64783	RBM15
80230	RUFY1
23013	SPEN
64210	MMS19
29128	UHRF1
1265	CNN2
7095	SEC62
988	CDC5L
5707	PSMD1
6045	RNF2
11315	PARK7
2140	EYA3
10493	VAT1
10200	MPHOSPH6
54737	MPHOSPH8
10198	MPHOSPH9
4927	NUP88
8502	PKP4
30849	PIK3R4
10940	POP1
9169	SCAF11
7257	TSNAX
8663	EIF3C
728689	EIF3CL
7266	DNAJC7
11331	PHB2
11004	KIF2C
6311	ATXN2
4548	MTR
3028	HSD17B10
3182	HNRNPAB
4676	NAP1L4
8774	NAPG
50	ACO2
10574	CCT7
10969	EBNA1BP2
1820	ARID3A
55559	HAUS7
3276	PRMT1
573	BAG1
6048	RNF5
5318	PKP2
6455	SH3GL1
7443	VRK1
10142	AKAP9
64151	NCAPG
79109	MAPKAP1
83759	RBM4B
79009	DDX50
60528	ELAC2
83743	GRWD1
84319	CMSS1
79084	WDR77
79001	VKORC1
84790	TUBA1C
57337	SENP7
10514	MYBBP1A
92667	MGME1
79443	FYCO1
89874	SLC25A21
84318	CCDC77
84817	TXNDC17
84811	BUD13
84310	C7orf50
10929	SRSF8
55094	GPATCH1
83732	RIOK1
84298	LLPH
84294	UTP23
53918	PELO
23071	ERP44
79954	NOL10
84280	BTBD10
10844	TUBGCP2
55028	C17orf80
23344	ESYT1
93323	HAUS8
84262	PSMG3
51322	WAC
11083	DIDO1
57504	MTA3
79171	RBM42
79892	MCMBP
80755	AARSD1
55706	NDC1
91289	LMF2
84617	TUBB6
10623	POLR3C
11100	HNRNPUL1
79142	PHF23
79139	DERL1
9416	DDX23
9618	TRAF4
84245	MRI1
57418	WDR18
347733	TUBB2B
51260	PBDC1
81490	PTDSS2
79050	NOC4L
10813	UTP14A
79053	ALG8
10430	TMEM147
26354	GNL3
79029	SPATA5L1
55781	RIOK2
3833	KIFC1
79902	NUP85
64834	ELOVL1
80222	TARS2
39	ACAT2
29803	REPIN1
10293	TRAIP
5936	RBM4
26015	RPAP1
64895	PAPOLG
22950	SLC4A1AP
149986	LSM14B
83990	BRIP1
10580	SORBS1
80155	NAA15
55363	HEMGN
84433	CARD11
51593	SRRT
81890	QTRT1
8907	AP1M1
51203	NUSAP1
2177	FANCD2
84549	MAK16
3704	ITPA
83939	EIF2A
84271	POLDIP3
54584	GNB1L
51073	MRPL4
84365	NIFK
54915	YTHDF1
29072	SETD2
23348	DOCK9
51253	MRPL37
23560	GTPBP4
114882	OSBPL8
114880	OSBPL6
65109	UPF3B
51340	CRNKL1
79718	TBL1XR1
7371	UCK2
8539	API5
85456	TNKS1BP1
63893	UBE2O
85459	CEP295
79699	ZYG11B
85460	ZNF518B
55339	WDR33
55759	WDR12
26054	SENP6
57109	REXO4
57062	DDX24
64425	POLR1E
81892	SLIRP
54583	EGLN1
79876	UBA5
84233	TMEM126A
10605	PAIP1
81570	CLPB
55226	NAT10
64837	KLC2
80895	ILKAP
22803	XRN2
79595	SAP130
84081	NSRP1
29127	RACGAP1
64761	PARP12
23235	SIK2
83448	PUS7L
23283	CSTF2T
51202	DDX47
81876	RAB1B
441400	RAB1C
56006	SMG9
64412	GZF1
81030	ZBP1
64682	ANAPC1
64710	NUCKS1
63971	KIF13A
64145	RBSN
30844	EHD4
64601	VPS16
81034	SLC25A32
80314	EPC1
9748	SLK
51347	TAOK3
25782	RAB3GAP2
23394	ADNP
170506	DHX36
27068	PPA2
83985	SPNS1
64397	ZNF106
5411	PNN
552900	BOLA2
81542	TMX1
7469	NELFA
64746	ACBD3
23580	CDC42EP4
25930	PTPN23
55898	UNC45A
79980	DSN1
128866	CHMP4B
65125	WNK1
6051	RNPEP
26168	SENP3
26031	OSBPL3
56916	SMARCAD1
10938	EHD1
63925	ZNF335
51575	ESF1
84146	ZNF644
55127	HEATR1
64216	TFB2M
63932	CXorf56
54930	HAUS4
79080	CCDC86
56919	DHX33
65083	NOL6
64848	YTHDC2
79657	RPAP3
54828	BCAS3
54853	WDR55
8498	RANBP3
79834	PEAK1
84154	RPF2
80232	WDR26
81550	TDRD3
65265	C8orf33
58506	SCAF1
55051	NRDE2
84148	KAT8
28976	ACAD9
64943	NT5DC2
79886	CAAP1
25926	NOL11
64794	DDX31
65980	BRD9
1894	ECT2
55139	ANKZF1
79968	WDR76
93973	ACTR8
25904	CNOT10
55631	LRRC40
79813	EHMT1
94081	SFXN1
192669	AGO3
84132	USP42
81875	ISG20L2
84172	POLR1B
64319	FBRS
22877	MLXIP
54477	PLEKHA5
26019	UPF2
57510	XPO5
63967	CLSPN
3431	SP110
27101	CACYBP
54542	RC3H2
29780	PARVB
51616	TAF9B
55858	TMEM165
60386	SLC25A19
27436	EML4
51031	GLOD4
60313	GPBP1L1
57332	CBX8
64087	MCCC2
57727	NCOA5
26115	TANC2
4343	MOV10
57703	CWC22
57701	NCKAP5L
55167	MSL2
57690	TNRC6C
57680	CHD8
23753	SDF2L1
56949	XAB2
57130	ATP13A1
56889	TM9SF3
11180	WDR6
51538	ZCCHC17
22931	RAB18
51534	VTA1
54938	SARS2
10884	MRPS30
55505	NOP10
55644	OSGEP
29855	UBN1
51477	ISYNA1
29117	BRD7
55802	DCP1A
55692	LUC7L
64976	MRPL40
56342	PPAN
57142	RTN4
58490	RPRD1B
3619	INCENP
56915	EXOSC5
51010	EXOSC3
23303	KIF13B
54443	ANLN
7511	XPNPEP1
57050	UTP3
57448	BIRC6
9188	DDX21
56681	SAR1A
54187	NANS
55870	ASH1L
8891	EIF2B3
4154	MBNL1
56478	EIF4ENIF1
51332	SPTBN5
54107	POLE3
54108	CHRAC1
8086	AAAS
23456	ABCB10
11177	BAZ1A
29888	STRN4
29102	DROSHA
11311	VPS45
56902	PNO1
29085	PHPT1
10827	FAM114A2
3070	HELLS
56993	TOMM22
10056	FARSB
55699	IARS2
85395	FAM207A
54014	BRWD1
64092	SAMSN1
89953	KLC4
79019	CENPM
81624	DIAPH3
55589	BMP2K
23047	PDS5B
10051	SMC4
22908	SACM1L
29789	OLA1
55862	ECHDC1
10137	RBM12
23195	MDN1
85364	ZCCHC3
27067	STAU2
55794	DDX28
55326	AGPAT5
55787	TXLNG
55324	ABCF3
51571	FAM49B
55308	DDX19A
25879	DCAF13
55763	EXOC1
55756	INTS9
9440	MED17
55735	DNAJC11
25896	INTS7
55215	FANCI
55210	ATAD3A
54496	PRMT7
54552	GNL3L
8886	DDX18
55153	SDAD1
55149	MTPAP
55142	HAUS2
55707	NECAP2
55703	POLR3B
55131	RBM28
55129	ANO10
55696	RBM22
55105	GPATCH2
55100	WDR70
55082	ARGLU1
79811	SLTM
55005	RMND1
55003	PAK1IP1
54998	AURKAIP1
54995	OXSM
29086	BABAM1
55655	NLRP2
54954	FAM120C
54948	MRPL16
55651	NHP2
54940	OCIAD1
54936	ADPRHL2
55646	LYAR
54927	CHCHD3
54918	CMTM6
55627	SMPD4
54883	CWC25
54881	TEX10
55623	THUMPD1
54850	FBXL12
254394	MCM9
54556	ING3
55602	CDKN2AIP
10072	DPP3
26574	AATF
54606	DDX56
9774	BCLAF1
55813	UTP6
29766	TMOD3
60481	ELOVL5
51755	CDK12
22868	FASTKD2
51512	GTSE1
9524	TECR
51752	ERAP1
51759	C9orf78
23196	FAM120A
50485	SMARCAL1
10642	IGF2BP1
11163	NUDT4
23365	ARHGEF12
4848	CNOT2
51806	CALML5
51503	CWC15
29087	THYN1
29078	NDUFAF4
51495	HACD3
26064	RAI14
9218	VAPA
29843	SENP1
30827	CXXC1
57648	KIAA1522
57623	ZFAT
57620	STIM2
55920	RCC2
57609	DIP2B
57606	SLAIN2
57602	USP36
56647	BCCIP
25998	IBTK
55636	CHD7
6238	RRBP1
53981	CPSF2
55758	RCOR3
57533	TBC1D14
57530	CGN
54439	RBM27
55683	KANSL3
8803	SUCLA2
25814	ATXN10
8932	MBD2
24144	TFIP11
58513	EPS15L1
23595	ORC3
10055	SAE1
26958	COPG2
9070	ASH2L
1717	DHCR7
6683	SPAST
27335	EIF3K
9380	GRHPR
10054	UBA2
10482	NXF1
1468	SLC25A10
51455	REV1
9414	TJP2
10428	CFDP1
23361	ZNF629
1616	DAXX
222229	LRWD1
23761	PISD
10061	ABCF2
8994	LIMD1
11231	SEC63
23264	ZC3H7B
6942	TCF20
10042	HMGXB4
9582	APOBEC3B
27125	AFF4
6730	SRP68
26973	CHORDC1
29110	TBK1
7227	TRPS1
11218	DDX20
26747	NUFIP1
55971	BAIAP2L1
29115	SAP30BP
5202	PFDN2
22827	PUF60
8890	EIF2B4
51606	ATP6V1H
51194	IPO11
23039	XPO7
738	VPS51
29994	BAZ2B
11176	BAZ2A
9031	BAZ1B
10165	SLC25A13
28988	DBNL
51428	DDX41
8697	CDC23
30968	STOML2
51163	DBR1
11215	AKAP11
26205	GMEB2
51154	MRTO4
23043	TNIK
51692	CPSF3
23131	GPATCH8
11164	NUDT5
23186	RCOR1
9994	CASP8AP2
22913	RALY
9329	GTF3C4
22806	IKZF3
22985	ACIN1
27161	AGO2
10762	NUP50
11244	ZHX1
55573	CDV3
26512	INTS6
26523	AGO1
23011	RAB21
23567	ZNF346
5721	PSME2
9344	TAOK2
54617	INO80
57498	KIDINS220
54454	ATAD2B
49854	ZBTB21
9439	MED23
55689	YEATS2
23613	ZMYND8
25792	CIZ1
23603	CORO1C
22974	TPX2
29777	ABT1
28987	NOB1
26993	AKAP8L
29108	PYCARD
4646	MYO6
27339	PRPF19
51406	NOL7
11276	SYNRG
27183	VPS4A
9908	G3BP2
10916	MAGED2
6747	SSR3
5719	PSMD13
11124	FAF1
27292	DIMT1
10885	WDR3
8458	TTF2
55968	NSFL1C
23499	MACF1
22994	CEP131
22828	SCAF8
22870	PPP6R1
51592	TRIM33
23133	PHF8
23112	TNRC6B
23381	SMG5
23067	SETD1B
23358	USP24
23287	AGTPBP1
23314	SATB2
23405	DICER1
23524	SRRM2
5036	PA2G4
9156	EXO1
10458	BAIAP2
9846	GAB2
9126	SMC3
10014	HDAC5
7707	ZNF148
10856	RUVBL2
9425	CDYL
51386	EIF3L
9373	PLAA
8607	RUVBL1
10726	NUDC
7419	VDAC3
2193	FARSA
25842	ASF1A
4733	DRG1
10330	CNPY2
117178	SSX2IP
23379	ICE1
23341	DNAJC16
23387	SIK3
22864	R3HDM2
22992	KDM2A
22894	DIS3
373156	GSTK1
11056	DDX52
26985	AP3M1
23592	LEMD3
9967	THRAP3
51729	WBP11
10025	MED16
51602	NOP58
28964	GIT1
23528	ZNF281
10910	SUGT1
25821	MTO1
51067	YARS2
23597	ACOT9
51070	NOSIP
57819	LSM2
51719	CAB39
51631	LUC7L2
51634	RBMX2
51116	MRPS2
27341	RRP7A
51119	SBDS
51639	SF3B6
65003	MRPL11
51018	RRP15
51491	NOP16
51645	PPIL1
102157402	AK6
51649	MRPS23
11171	STRAP
51493	RTCB
57826	RAP2C
26155	NOC2L
25873	RPL36
26093	CCDC9
25939	SAMHD1
26017	FAM32A
25966	C2CD2
11187	PKP3
10767	HBS1L
6297	SALL2
22823	MTF2
7094	TLN1
8295	TRRAP
9904	RBM19
283450	HECTD4
26036	ZNF451
9958	USP15
9693	RAPGEF2
8660	IRS2
10525	HYOU1
9894	TELO2
81887	LAS1L
10939	AFG3L2
25804	LSM4
23215	PRRC2C
51400	PPME1
51441	YTHDF2
94104	PAXBP1
11198	SUPT16H
51096	UTP18
51377	UCHL5
23607	CD2AP
23534	TNPO3
26517	TIMM13
58477	SRPRB
9328	GTF3C5
9330	GTF3C3
9939	RBM8A
10600	USP16
51429	SNX9
10101	NUBP2
80324	PUS1
29109	FHOD1
9612	NCOR2
10166	SLC25A15
25788	RAD54B
29880	ALG5
28973	MRPS18B
22820	COPG1
550	AUP1
29105	CFAP20
23788	MTCH2
10565	ARFGEF1
8428	STK24
28969	BZW2
51143	DYNC1LI1
23523	CABIN1
10629	TAF6L
10390	CEPT1
1788	DNMT3A
10644	IGF2BP2
9497	SLC4A7
8202	NCOA3
4216	MAP3K4
54555	DDX49
22880	MORC2
